Chicago Neighborhood,Most Similar NYC Zipcode(s),Chicago % Public Transit Use,NYC % Public Transit Use,% Difference
Albany Park,11004,16.5525465456224,19.3,2.7474534543776024
Archer Heights,11697,7.51788160097398,12.3,4.782118399026021
Armour Square,11697,8.45782237086585,12.3,3.8421776291341505
Ashburn,11697,6.34134088417976,12.3,5.95865911582024
Auburn Gresham,11697,9.4818272181166,12.3,2.8181727818834013
Austin,11697,10.2466932605501,12.3,2.0533067394499014
Avalon Park,11697,6.40961442163245,12.3,5.8903855783675505
Avondale,11004,16.3883536715907,19.3,2.911646328409301
Belmont Cragin,11697,7.21436616193217,12.3,5.085633838067831
Beverly,11697,9.11055614254154,12.3,3.1894438574584605
Bridgeport,11697,11.9689627493534,12.3,0.3310372506466006
Brighton Park,11697,7.97759578693683,12.3,4.32240421306317
Burnside,11697,9.49423247559894,12.3,2.8057675244010607
Calumet Heights,11697,11.2526539278132,12.3,1.0473460721868015
Chatham,11697,12.1401028277635,12.3,0.15989717223650146
Chicago Lawn,11697,7.70273833289389,12.3,4.59726166710611
Clearing,11697,6.53508941330964,12.3,5.764910586690361
Douglas,11697,12.934892449834,12.3,0.6348924498340001
Dunning,10199,5.14088214424684,0.0,5.14088214424684
East Garfield Park,11697,11.6923384676935,12.3,0.6076615323065013
East Side,10199,4.33079159118675,0.0,4.33079159118675
Edgewater,11362,24.4724381309747,24.8,0.32756186902529905
Edison Park,11697,6.30762602326583,12.3,5.992373976734171
Englewood,11697,9.98205383848455,12.3,2.317946161515451
Forest Glen,11697,6.57237499342763,12.3,5.727625006572371
Fuller Park,11697,11.1111111111111,12.3,1.1888888888889007
Gage Park,11697,7.55021652435593,12.3,4.749783475644071
Garfield Ridge,10199,5.73139905484119,0.0,5.73139905484119
Grand Boulevard,11697,12.1364227132165,12.3,0.16357728678350014
Greater Grand Crossing,11697,11.5658250960146,12.3,0.7341749039854015
Hegewisch,11697,6.55128477383733,12.3,5.748715226162671
Hermosa,11697,8.96703114645461,12.3,3.33296885354539
Humboldt Park,11697,9.66381342265228,12.3,2.63618657734772
Hyde Park,11697,13.426771536139,12.3,1.1267715361389996
Irving Park,11697,14.8225469728601,12.3,2.5225469728600984
Jefferson Park,11697,10.2581319009251,12.3,2.0418680990749003
Kenwood,11697,14.6954447611845,12.3,2.3954447611845
Lake View,11363,36.0893799144023,36.3,0.21062008559769652
Lincoln Park,10306 11414,27.8747600059075,27.8,0.07476000590749976
Lincoln Square,10312,22.3420831835071,22.2,0.14208318350710059
Logan Square,10307,19.5315280781973,19.5,0.03152807819730086
Lower West Side,11004,16.0423254682559,19.3,3.257674531744101
McKinley Park,11697,12.3358914187861,12.3,0.03589141878609858
Montclare,10199,5.12653651482285,0.0,5.12653651482285
Morgan Park,11697,6.18915781012771,12.3,6.110842189872291
Mount Greenwood,10199,3.44451937542149,0.0,3.44451937542149
Near North Side,11004,17.4951908474233,19.3,1.804809152576702
Near South Side,11004,17.3285351397121,19.3,1.9714648602879024
Near West Side,11697,14.0285023539891,12.3,1.7285023539891
New City,11697,7.71214074467278,12.3,4.587859255327221
North Center,10307,19.6959959764173,19.5,0.1959959764173007
North Lawndale,11697,10.2178206804462,12.3,2.0821793195538003
North Park,11697,7.58412058167923,12.3,4.715879418320771
Norwood Park,10199,5.15516730027771,0.0,5.15516730027771
Oakland,11697,11.647855530474,12.3,0.6521444695260001
O'Hare,11697,7.85327623818373,12.3,4.446723761816271
Portage Park,11697,9.52928919091234,12.3,2.77071080908766
Pullman,11697,12.9139573567216,12.3,0.613957356721599
Riverdale,11697,8.61509331890722,12.3,3.68490668109278
Rogers Park,10309,23.133921760924,23.8,0.6660782390760005
Roseland,11697,10.0110762849669,12.3,2.2889237150331
South Chicago,11697,12.2952269751973,12.3,0.004773024802700476
South Deering,11697,6.53482961543725,12.3,5.765170384562751
South Lawndale,10199,5.49758854257124,0.0,5.49758854257124
South Shore,11697,14.4809393470586,12.3,2.180939347058599
The Loop,11697,15.1142697881828,12.3,2.8142697881827985
Uptown,10314 11360,26.9711762372139,26.9,0.07117623721390132
Washington Heights,11697,8.88427494262922,12.3,3.4157250573707802
Washington Park,11697,10.6764041036342,12.3,1.623595896365801
West Elsdon,11697,8.0781826688153,12.3,4.221817331184701
West Englewood,11697,8.08914430819606,12.3,4.210855691803941
West Garfield Park,11697,8.34352968595234,12.3,3.9564703140476603
West Lawn,10199,6.0982239942008,0.0,6.0982239942008
West Pullman,11697,6.47393843270132,12.3,5.826061567298681
West Ridge,11697,8.22410286688972,12.3,4.075897133110281
West Town,10309,23.2799223687013,23.8,0.520077631298701
Woodlawn,11697,9.76018566271274,12.3,2.539814337287261
