Zip Code,% Commuters Who Use Public Transit
10001,49.7
10002,54.6
10003,51.1
10004,54.3
10005,62.8
10006,56.5
10007,55.4
10009,59
10010,55.6
10011,55.3
10012,51.1
10013,45.3
10014,53.1
10016,40
10017,38.8
10018,45
10020,-666666666
10021,44.7
10022,39
10025,66
10028,62.6
10029,69.9
10035,72.1
10036,47.8
10038,54.2
10044,82.9
10065,42.9
10075,54.3
10110,-666666666
10119,-666666666
10128,65.1
10152,-666666666
10154,-666666666
10162,42.8
10165,-666666666
10167,-666666666
10168,-666666666
10169,-666666666
10170,-666666666
10171,-666666666
10172,-666666666
10173,-666666666
10174,-666666666
10177,-666666666
10199,0
10271,-666666666
10278,-666666666
10279,41.9
11004,19.3
11101,76
11102,72.1
11103,73.1
11104,71.8
11105,64.1
11106,72.4
11109,85.3
11201,68.4
11203,60.1
11204,52.5
11205,59.7
11206,66.9
11207,68.1
11209,57.7
11210,55.3
11211,62.5
11212,67.4
11213,65.4
11214,58.9
11215,67.7
11216,72.4
11217,72.2
11218,61
11219,40
11220,61.5
11221,68.5
11222,65.7
11223,55.4
11224,56.6
11225,72.8
11226,72.8
11228,47.5
11229,51.4
11230,50.5
11231,61.9
11232,70.6
11233,70.2
11234,43.5
11235,48.4
11236,54.7
11237,69.4
11238,71.4
11354,42.9
11355,43.4
11356,30.7
11357,25.9
11377,66.1
11378,46.5
11379,43.1
11385,59
11425,-666666666
10019,44.9
10023,57.1
10024,68.1
10026,79.1
10027,65.4
10030,72.8
10031,78.8
10033,68.6
10034,69.1
10037,70.3
10039,75.9
10040,71.1
10069,61.4
10103,-666666666
10153,-666666666
10301,42.2
10302,28.5
10303,39.4
10304,39.7
10305,35.6
10306,27.8
10307,19.5
10308,26.1
10309,23.8
10310,31.8
10312,22.2
10314,26.9
10451,67.4
10452,70
10453,65.3
10454,71.4
10455,68.6
10456,67.2
10457,66.2
10458,66.6
10459,65.8
10460,63.7
10461,45.4
10462,62.9
10463,56.3
10464,22.1
10465,30.8
10466,49.3
10467,62.8
10468,70
10469,46.2
10470,50.7
10471,43.1
10472,66.7
10473,50.1
10474,57.6
10475,55.4
11208,66.2
11239,60.7
11358,39.6
11360,26.9
11361,32.9
11362,24.8
11363,36.3
11364,34.8
11365,37.9
11366,38.1
11367,42
11368,65.5
11369,54.7
11370,53
11371,-666666666
11372,65.2
11373,70.4
11374,60.2
11375,62
11411,38.2
11412,41.8
11413,37.9
11414,27.8
11415,53.8
11416,55.3
11417,47.5
11418,51.6
11419,50.5
11420,41.1
11421,59.1
11423,45.5
11426,26.2
11427,39.9
11428,39
11429,40.3
11430,100
11432,52.9
11433,50.4
11434,46.3
11435,58.9
11436,42.9
11451,-666666666
11691,39.5
11692,48.1
11693,42.3
11694,24.1
11697,12.3
