,Postcode,average_roc,NTA_code
72,11229,36.55,BK17
69,11224,27.675,BK21
68,11223,39.075,BK26
62,11214,37.95,BK27
65,11219,54.7,BK30
57,11209,27.15,BK31
75,11232,12.0,BK32
74,11231,8.375,BK33
63,11215,13.225,BK37
50,11201,11.95,BK38
64,11218,37.75,BK41
58,11210,38.55,BK42
73,11230,44.125,BK43
78,11236,70.075,BK50
51,11203,50.75,BK60
61,11213,28.175,BK61
70,11225,27.2,BK63
53,11205,13.875,BK68
80,11238,16.25,BK69
59,11211,36.8,BK73
67,11222,10.1,BK76
79,11237,19.275,BK77
66,11221,27.075,BK78
76,11233,29.625,BK79
60,11212,40.4,BK81
55,11207,45.775,BK82
56,11208,53.125,BK83
52,11204,38.125,BK88
54,11206,32.825,BK90
71,11226,52.025,BK95
14,10466,64.825,BX03
7,10458,48.625,BX05
18,10472,46.15,BX08
12,10464,3.875,BX10
20,10475,49.125,BX13
9,10460,41.025,BX17
8,10459,36.575,BX27
11,10463,50.2,BX28
16,10468,60.85,BX30
4,10455,31.525,BX34
5,10456,60.775,BX35
10,10461,46.375,BX37
3,10454,27.675,BX39
2,10453,55.6,BX41
15,10467,82.425,BX43
13,10465,40.425,BX52
19,10473,50.575,BX59
17,10470,11.95,BX62
1,10451,39.575,BX63
44,10034,17.0,MN01
41,10030,11.875,MN03
42,10031,29.25,MN04
38,10026,14.925,MN11
37,10024,13.225,MN12
31,10010,4.725,MN13
36,10023,11.475,MN14
25,10001,7.325,MN17
34,10017,2.825,MN19
33,10016,11.675,MN20
27,10003,8.85,MN22
32,10014,4.225,MN23
30,10007,0.725,MN24
29,10005,0.85,MN25
26,10002,22.5,MN27
35,10021,10.5,MN31
40,10029,44.85,MN34
45,10040,21.175,MN35
43,10032,31.675,MN36
39,10028,8.425,MN40
23,11693,7.9,QN10
22,11692,13.775,QN12
21,11691,53.425,QN15
46,11101,13.625,QN31
24,11004,13.375,QN44
48,11103,12.8,QN70
47,11102,14.65,QN71
49,11105,12.0,QN72
0,11436,12.625,QN76
